,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,7,16,39,33,26
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,31,13,17,24,11
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,23,16,30,31,26
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,27,11,23,27,18
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,21,14,27,31,23
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,29,12,23,30,18
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,29,13,20,29,13
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,6,29,35,31,24
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,6,29,33,28,24
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,9,16,36,33,31
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,9,17,38,33,31
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,13,14,28,35,25
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,10,19,37,33,32
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,11,8,26,39,27
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,11,15,31,35,29
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,14,10,24,28,27
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,11,14,29,34,25
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,21,21,24,45,24
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,21,14,18,26,30
