Unnamed: 0,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
lata_agreeableness_high_log_l1.5_log_1.5,lata_agreeableness_high_log_l1.5_log_1.5,24,17,37,47,40
lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_high_thr_0p95_l0.5_thr_0p95_0.5,23,17,41,45,42
lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_high_thr_0p95_l1.0_thr_0p95_1.0,28,11,37,45,33
lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_high_thr_0p95_l1.5_thr_0p95_1.5,28,9,36,45,35
lata_agreeableness_low_linear_l0.5_linear_0.5,lata_agreeableness_low_linear_l0.5_linear_0.5,33,15,38,41,39
lata_agreeableness_low_linear_l1.0_linear_1.0,lata_agreeableness_low_linear_l1.0_linear_1.0,29,12,36,40,37
lata_agreeableness_low_linear_l1.5_linear_1.5,lata_agreeableness_low_linear_l1.5_linear_1.5,32,19,36,16,31
lata_agreeableness_low_log_l0.5_log_0.5,lata_agreeableness_low_log_l0.5_log_0.5,32,13,38,39,38
lata_agreeableness_low_log_l1.0_log_1.0,lata_agreeableness_low_log_l1.0_log_1.0,35,12,36,23,36
lata_agreeableness_low_log_l1.5_log_1.5,lata_agreeableness_low_log_l1.5_log_1.5,32,18,34,7,28
lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_agreeableness_low_thr_0p95_l0.5_thr_0p95_0.5,23,12,37,43,39
lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_agreeableness_low_thr_0p95_l1.0_thr_0p95_1.0,33,12,37,38,39
lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_agreeableness_low_thr_0p95_l1.5_thr_0p95_1.5,31,13,36,39,42
lata_extraversion_high_linear_l0.5_linear_0.5,lata_extraversion_high_linear_l0.5_linear_0.5,18,36,39,44,41
lata_extraversion_high_linear_l1.0_linear_1.0,lata_extraversion_high_linear_l1.0_linear_1.0,15,39,40,47,37
lata_extraversion_high_linear_l1.5_linear_1.5,lata_extraversion_high_linear_l1.5_linear_1.5,18,39,38,42,36
lata_extraversion_high_log_l0.5_log_0.5,lata_extraversion_high_log_l0.5_log_0.5,15,43,35,46,39
lata_extraversion_high_log_l1.0_log_1.0,lata_extraversion_high_log_l1.0_log_1.0,10,46,37,46,25
lata_extraversion_high_log_l1.5_log_1.5,lata_extraversion_high_log_l1.5_log_1.5,16,46,34,45,26
lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,27,17,36,45,43
lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,28,27,39,46,39
lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,33,17,40,47,35
lata_extraversion_low_linear_l0.5_linear_0.5,lata_extraversion_low_linear_l0.5_linear_0.5,28,11,37,42,40
lata_extraversion_low_linear_l1.0_linear_1.0,lata_extraversion_low_linear_l1.0_linear_1.0,30,8,39,40,37
lata_extraversion_low_linear_l1.5_linear_1.5,lata_extraversion_low_linear_l1.5_linear_1.5,31,6,35,35,36
lata_extraversion_low_log_l0.5_log_0.5,lata_extraversion_low_log_l0.5_log_0.5,28,7,36,42,32
lata_extraversion_low_log_l1.0_log_1.0,lata_extraversion_low_log_l1.0_log_1.0,33,6,35,36,32
lata_extraversion_low_log_l1.5_log_1.5,lata_extraversion_low_log_l1.5_log_1.5,33,7,37,30,39
lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,28,11,39,45,42
lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,32,12,39,40,32
lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,29,12,38,40,34
lata_neuroticism_high_linear_l0.5_linear_0.5,lata_neuroticism_high_linear_l0.5_linear_0.5,34,8,37,37,27
lata_neuroticism_high_linear_l1.0_linear_1.0,lata_neuroticism_high_linear_l1.0_linear_1.0,40,6,34,34,24
lata_neuroticism_high_linear_l1.5_linear_1.5,lata_neuroticism_high_linear_l1.5_linear_1.5,42,6,32,29,21
lata_neuroticism_high_log_l0.5_log_0.5,lata_neuroticism_high_log_l0.5_log_0.5,38,9,39,36,31
lata_neuroticism_high_log_l1.0_log_1.0,lata_neuroticism_high_log_l1.0_log_1.0,44,8,31,31,20
lata_neuroticism_high_log_l1.5_log_1.5,lata_neuroticism_high_log_l1.5_log_1.5,45,4,28,32,16
lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,31,11,39,40,38
lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,33,10,38,36,31
lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,34,9,34,39,26
lata_neuroticism_low_linear_l0.5_linear_0.5,lata_neuroticism_low_linear_l0.5_linear_0.5,19,15,40,43,41
lata_neuroticism_low_linear_l1.0_linear_1.0,lata_neuroticism_low_linear_l1.0_linear_1.0,17,11,40,46,42
lata_neuroticism_low_linear_l1.5_linear_1.5,lata_neuroticism_low_linear_l1.5_linear_1.5,14,22,38,46,41
lata_neuroticism_low_log_l0.5_log_0.5,lata_neuroticism_low_log_l0.5_log_0.5,15,22,38,46,40
lata_neuroticism_low_log_l1.0_log_1.0,lata_neuroticism_low_log_l1.0_log_1.0,11,13,39,45,44
lata_neuroticism_low_log_l1.5_log_1.5,lata_neuroticism_low_log_l1.5_log_1.5,9,13,39,44,40
lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,20,17,41,43,42
lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,24,20,39,45,33
lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,24,13,40,44,40
lata_openness_high_linear_l0.5_linear_0.5,lata_openness_high_linear_l0.5_linear_0.5,29,17,39,44,41
lata_openness_high_linear_l1.0_linear_1.0,lata_openness_high_linear_l1.0_linear_1.0,29,27,40,43,26
lata_openness_high_linear_l1.5_linear_1.5,lata_openness_high_linear_l1.5_linear_1.5,22,28,41,40,18
lata_openness_high_log_l0.5_log_0.5,lata_openness_high_log_l0.5_log_0.5,27,27,41,45,40
lata_openness_high_log_l1.0_log_1.0,lata_openness_high_log_l1.0_log_1.0,28,27,42,42,19
lata_openness_high_log_l1.5_log_1.5,lata_openness_high_log_l1.5_log_1.5,22,33,42,42,28
lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,27,14,40,42,41
lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,26,15,39,44,41
lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,31,10,39,39,30
lata_openness_low_linear_l0.5_linear_0.5,lata_openness_low_linear_l0.5_linear_0.5,33,9,35,37,32
lata_openness_low_linear_l1.0_linear_1.0,lata_openness_low_linear_l1.0_linear_1.0,37,7,33,41,34
lata_openness_low_linear_l1.5_linear_1.5,lata_openness_low_linear_l1.5_linear_1.5,37,7,29,39,26
lata_openness_low_log_l0.5_log_0.5,lata_openness_low_log_l0.5_log_0.5,34,6,39,38,30
lata_openness_low_log_l1.0_log_1.0,lata_openness_low_log_l1.0_log_1.0,39,9,31,39,34
lata_openness_low_log_l1.5_log_1.5,lata_openness_low_log_l1.5_log_1.5,33,3,12,39,37
lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,27,15,37,44,31
lata_openness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_openness_low_thr_0p95_l1.0_thr_0p95_1.0,30,11,36,41,25
lata_openness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_openness_low_thr_0p95_l1.5_thr_0p95_1.5,36,9,35,43,31
