Model,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
lata_extraversion_high_linear_l1.0_linear_1.0,lata_extraversion_high_linear_l1.0_linear_1.0,18.0,38.0,40.0,44.67,40.33
lata_extraversion_high_linear_l1.5_linear_1.5,lata_extraversion_high_linear_l1.5_linear_1.5,16.67,40.67,38.0,42.0,36.67
lata_extraversion_high_log_l0.5_log_0.5,lata_extraversion_high_log_l0.5_log_0.5,16.0,42.0,36.67,45.0,37.67
lata_extraversion_high_log_l1.0_log_1.0,lata_extraversion_high_log_l1.0_log_1.0,12.67,44.33,36.33,42.67,28.33
lata_extraversion_high_log_l1.5_log_1.5,lata_extraversion_high_log_l1.5_log_1.5,16.0,44.67,34.33,40.0,30.0
lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_high_thr_0p95_l0.5_thr_0p95_0.5,29.0,16.0,38.33,41.0,39.67
lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_high_thr_0p95_l1.0_thr_0p95_1.0,26.0,27.33,40.67,43.33,37.0
lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_high_thr_0p95_l1.5_thr_0p95_1.5,32.0,18.0,41.67,43.33,36.33
lata_extraversion_low_linear_l0.5_linear_0.5,lata_extraversion_low_linear_l0.5_linear_0.5,28.33,11.0,37.33,40.33,39.33
lata_extraversion_low_linear_l1.0_linear_1.0,lata_extraversion_low_linear_l1.0_linear_1.0,31.33,7.33,39.67,38.67,37.33
lata_extraversion_low_linear_l1.5_linear_1.5,lata_extraversion_low_linear_l1.5_linear_1.5,29.33,7.33,37.0,36.0,35.67
lata_extraversion_low_log_l0.5_log_0.5,lata_extraversion_low_log_l0.5_log_0.5,30.67,7.33,37.67,39.0,35.67
lata_extraversion_low_log_l1.0_log_1.0,lata_extraversion_low_log_l1.0_log_1.0,34.33,6.67,37.0,36.67,33.67
lata_extraversion_low_log_l1.5_log_1.5,lata_extraversion_low_log_l1.5_log_1.5,33.0,6.33,37.67,33.33,39.0
lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,lata_extraversion_low_thr_0p95_l0.5_thr_0p95_0.5,30.67,11.33,40.67,41.33,39.67
lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,lata_extraversion_low_thr_0p95_l1.0_thr_0p95_1.0,32.33,10.33,39.33,39.33,36.67
lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,lata_extraversion_low_thr_0p95_l1.5_thr_0p95_1.5,31.0,12.33,39.0,40.0,35.33
lata_neuroticism_high_linear_l0.5_linear_0.5,lata_neuroticism_high_linear_l0.5_linear_0.5,34.0,10.0,38.67,37.67,32.67
lata_neuroticism_high_linear_l1.0_linear_1.0,lata_neuroticism_high_linear_l1.0_linear_1.0,40.0,6.67,37.33,34.33,26.67
lata_neuroticism_high_linear_l1.5_linear_1.5,lata_neuroticism_high_linear_l1.5_linear_1.5,42.67,6.33,34.33,31.67,23.0
lata_neuroticism_high_log_l0.5_log_0.5,lata_neuroticism_high_log_l0.5_log_0.5,35.67,9.33,39.0,36.0,34.67
lata_neuroticism_high_log_l1.0_log_1.0,lata_neuroticism_high_log_l1.0_log_1.0,42.67,9.0,35.0,32.67,22.0
lata_neuroticism_high_log_l1.5_log_1.5,lata_neuroticism_high_log_l1.5_log_1.5,44.33,4.67,32.0,33.67,16.33
lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_high_thr_0p95_l0.5_thr_0p95_0.5,33.33,11.33,40.0,37.33,38.0
lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_high_thr_0p95_l1.0_thr_0p95_1.0,34.0,9.67,38.67,36.0,35.0
lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_high_thr_0p95_l1.5_thr_0p95_1.5,36.0,10.0,34.33,37.33,30.67
lata_neuroticism_low_linear_l0.5_linear_0.5,lata_neuroticism_low_linear_l0.5_linear_0.5,20.33,16.33,39.67,41.33,39.67
lata_neuroticism_low_linear_l1.0_linear_1.0,lata_neuroticism_low_linear_l1.0_linear_1.0,19.0,15.67,41.33,42.67,42.0
lata_neuroticism_low_linear_l1.5_linear_1.5,lata_neuroticism_low_linear_l1.5_linear_1.5,17.0,24.33,40.0,42.33,41.67
lata_neuroticism_low_log_l0.5_log_0.5,lata_neuroticism_low_log_l0.5_log_0.5,16.67,22.67,38.67,43.67,40.33
lata_neuroticism_low_log_l1.0_log_1.0,lata_neuroticism_low_log_l1.0_log_1.0,14.67,15.0,39.67,43.67,43.33
lata_neuroticism_low_log_l1.5_log_1.5,lata_neuroticism_low_log_l1.5_log_1.5,10.33,17.0,40.33,42.33,42.0
lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,lata_neuroticism_low_thr_0p95_l0.5_thr_0p95_0.5,23.33,19.0,41.67,41.33,39.0
lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,lata_neuroticism_low_thr_0p95_l1.0_thr_0p95_1.0,25.67,20.0,41.0,43.67,36.33
lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,lata_neuroticism_low_thr_0p95_l1.5_thr_0p95_1.5,25.0,15.0,40.0,42.0,39.0
lata_openness_high_linear_l0.5_linear_0.5,lata_openness_high_linear_l0.5_linear_0.5,28.0,19.0,40.67,42.33,40.67
lata_openness_high_linear_l1.0_linear_1.0,lata_openness_high_linear_l1.0_linear_1.0,28.67,29.0,41.67,42.0,29.33
lata_openness_high_linear_l1.5_linear_1.5,lata_openness_high_linear_l1.5_linear_1.5,23.33,28.67,42.33,40.33,20.67
lata_openness_high_log_l0.5_log_0.5,lata_openness_high_log_l0.5_log_0.5,26.33,29.0,42.0,42.67,36.67
lata_openness_high_log_l1.0_log_1.0,lata_openness_high_log_l1.0_log_1.0,24.67,30.33,42.33,40.33,20.67
lata_openness_high_log_l1.5_log_1.5,lata_openness_high_log_l1.5_log_1.5,22.33,32.67,42.33,40.67,24.67
lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_high_thr_0p95_l0.5_thr_0p95_0.5,28.0,16.33,41.33,40.33,40.0
lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,lata_openness_high_thr_0p95_l1.0_thr_0p95_1.0,27.67,16.33,40.67,41.33,40.67
lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,lata_openness_high_thr_0p95_l1.5_thr_0p95_1.5,29.33,11.33,41.0,38.33,33.67
lata_openness_low_linear_l0.5_linear_0.5,lata_openness_low_linear_l0.5_linear_0.5,31.0,9.0,37.0,38.67,35.67
lata_openness_low_linear_l1.0_linear_1.0,lata_openness_low_linear_l1.0_linear_1.0,36.0,8.67,32.33,39.0,36.67
lata_openness_low_linear_l1.5_linear_1.5,lata_openness_low_linear_l1.5_linear_1.5,37.33,8.33,28.33,37.67,28.67
lata_openness_low_log_l0.5_log_0.5,lata_openness_low_log_l0.5_log_0.5,31.0,9.0,38.67,37.67,36.33
lata_openness_low_log_l1.0_log_1.0,lata_openness_low_log_l1.0_log_1.0,34.67,8.67,30.0,39.33,33.0
lata_openness_low_log_l1.5_log_1.5,lata_openness_low_log_l1.5_log_1.5,33.33,5.0,19.67,38.0,36.33
lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,lata_openness_low_thr_0p95_l0.5_thr_0p95_0.5,27.33,15.67,38.67,40.67,36.0
lata_openness_low_thr_0p95_l1.0_thr_0p95_1.0,lata_openness_low_thr_0p95_l1.0_thr_0p95_1.0,28.33,13.0,38.67,39.67,27.33
lata_openness_low_thr_0p95_l1.5_thr_0p95_1.5,lata_openness_low_thr_0p95_l1.5_thr_0p95_1.5,34.33,9.67,37.0,39.67,37.0
sft_agreeableness_high_none_0.0,sft_agreeableness_high_none_0.0,23.67,21.0,35.33,44.0,38.0
sft_agreeableness_low_none_0.0,sft_agreeableness_low_none_0.0,9.0,21.67,14.0,1.0,26.67
sft_conscientiousness_high_none_0.0,sft_conscientiousness_high_none_0.0,15.67,11.67,31.67,38.67,46.67
sft_conscientiousness_low_none_0.0,sft_conscientiousness_low_none_0.0,35.67,17.33,24.33,31.33,5.67
sft_extraversion_high_none_0.0,sft_extraversion_high_none_0.0,12.67,47.67,39.67,44.0,36.67
sft_extraversion_low_none_0.0,sft_extraversion_low_none_0.0,36.0,5.67,33.0,34.33,29.0
sft_neuroticism_high_none_0.0,sft_neuroticism_high_none_0.0,46.33,3.67,21.0,30.67,20.67
sft_neuroticism_low_none_0.0,sft_neuroticism_low_none_0.0,6.67,13.0,36.0,43.0,39.67
sft_openness_high_none_0.0,sft_openness_high_none_0.0,19.33,35.0,43.0,39.0,22.33
sft_openness_low_none_0.0,sft_openness_low_none_0.0,32.67,4.67,9.33,34.67,30.67
