,subject,neuroticism,extraversion,openness,agreeableness,conscientiousness
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_linear_0.0,8,28,34,30,24
Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_linear_0.5,6,16,38,33,26
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_linear_0.5,10,17,37,32,26
Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_linear_1.0,21,14,27,31,23
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_linear_1.0,8,15,37,32,26
Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_linear_1.5,31,10,18,20,10
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_linear_1.5,23,16,29,32,28
Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_linear_2.0,26,11,22,29,19
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_linear_2.0,21,15,27,30,24
Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_linear_2.5,29,13,22,28,16
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_linear_2.5,29,13,21,31,13
Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,Stacked_L0.0_Addition_Stacked_L0.0_Addition_TH_0.0,8,30,36,29,24
Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,Stacked_L0.0_Normalized_Stacked_L0.0_Normalized_TH_0.0,8,29,36,29,24
Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,Stacked_L0.5_Addition_Stacked_L0.5_Addition_TH_0.5,12,18,37,32,31
Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,Stacked_L0.5_Normalized_Stacked_L0.5_Normalized_TH_0.5,11,17,37,30,30
Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,Stacked_L1.0_Addition_Stacked_L1.0_Addition_TH_1.0,13,13,28,35,25
Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,Stacked_L1.0_Normalized_Stacked_L1.0_Normalized_TH_1.0,12,18,35,35,31
Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,Stacked_L1.5_Addition_Stacked_L1.5_Addition_TH_1.5,11,7,26,36,25
Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,Stacked_L1.5_Normalized_Stacked_L1.5_Normalized_TH_1.5,11,13,31,35,29
Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,Stacked_L2.0_Addition_Stacked_L2.0_Addition_TH_2.0,15,9,20,28,28
Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,Stacked_L2.0_Normalized_Stacked_L2.0_Normalized_TH_2.0,12,15,29,33,26
Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,Stacked_L2.5_Addition_Stacked_L2.5_Addition_TH_2.5,20,21,26,41,24
Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,Stacked_L2.5_Normalized_Stacked_L2.5_Normalized_TH_2.5,21,17,18,26,30
