group,n_rows,total_answers,total_invalid,invalid_rate
neuroticism_low_lata_thr_0p95_L2.5,3,150,15,0.1
openness_high_lata_linear_L0.5,3,150,0,0.0
openness_high_lata_linear_L1.0,3,150,0,0.0
openness_high_lata_linear_L1.5,3,150,0,0.0
openness_high_lata_linear_L2.0,3,150,21,0.14
openness_high_lata_linear_L2.5,3,150,48,0.32
openness_high_lata_log_L0.5,3,150,0,0.0
openness_high_lata_log_L1.0,3,150,0,0.0
openness_high_lata_log_L1.5,3,150,11,0.07333333333333333
openness_high_lata_log_L2.0,3,150,60,0.4
openness_high_lata_log_L2.5,3,150,127,0.8466666666666667
openness_high_lata_thr_0p95_L0.5,3,150,0,0.0
openness_high_lata_thr_0p95_L1.0,3,150,0,0.0
openness_high_lata_thr_0p95_L1.5,3,150,0,0.0
openness_high_lata_thr_0p95_L2.0,3,150,0,0.0
openness_high_lata_thr_0p95_L2.5,3,150,10,0.06666666666666667
openness_low_lata_linear_L0.5,3,150,0,0.0
openness_low_lata_linear_L1.0,3,150,0,0.0
openness_low_lata_linear_L1.5,3,150,0,0.0
openness_low_lata_linear_L2.0,3,150,25,0.16666666666666666
openness_low_lata_linear_L2.5,3,150,61,0.4066666666666667
openness_low_lata_log_L0.5,3,150,0,0.0
openness_low_lata_log_L1.0,3,150,0,0.0
openness_low_lata_log_L1.5,3,150,40,0.26666666666666666
openness_low_lata_log_L2.0,3,150,104,0.6933333333333334
openness_low_lata_log_L2.5,3,150,135,0.9
openness_low_lata_thr_0p95_L0.5,3,150,0,0.0
openness_low_lata_thr_0p95_L1.0,3,150,0,0.0
openness_low_lata_thr_0p95_L1.5,3,150,1,0.006666666666666667
openness_low_lata_thr_0p95_L2.0,3,150,0,0.0
openness_low_lata_thr_0p95_L2.5,3,150,1,0.006666666666666667
